adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001053507-20-000002	1053507	AMERICAN TOWER CORP /MA/	6798	US	MA	BOSTON	02116	116 HUNTINGTON AVE		6173757500	US	MA	BOSTON	02116	116 HUNTINGTON AVE		US	DE	650723837	AMERICAN TOWER SYSTEMS CORP	19980128	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 08:07:00.0	1	0	a8-keatontowersmtn2020_htm.xml	1	
0001062993-20-000010	1690947	HEXO CORP.	2833	CA	ON	OTTAWA	K2K 2X2	3000 SOLANDT ROAD		1-844-406-1852	CA	ON	OTTAWA	K2K 2X2	3000 SOLANDT ROAD		CA	ON	000000000	HYDROPOTHECARY CORP	20161128		0	0731	40-F/A	20190731	2019	FY	20200102	2020-01-02 17:14:00.0	0	1	hexo-20190731.xml	1	
0001104659-20-000041	1526113	GLOBAL NET LEASE, INC.	6798	US	NY	NEW YORK	10019	630 FIFTH AVE	30TH FLOOR	212-415-6500	US	NY	NEW YORK	10019	630 FIFTH AVE	30TH FLOOR			452771978	AMERICAN REALTY CAPITAL GLOBAL TRUST, INC.	20120810	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 06:04:00.0	0	0	tm1928361d1_8k_htm.xml	1	
0001104659-20-000050	1568162	AMERICAN FINANCE TRUST, INC	6798	US	NY	NEW YORK	10022	405 PARK AVENUE		212-415-6500	US	NY	NEW YORK	10022	405 PARK AVENUE		US	MD	900929989	AMERICAN REALTY CAPITAL TRUST V, INC.	20130129	4-NON	0	1231	8-K	20191231			20200102	2020-01-02 06:05:00.0	0	0	tm1928359d1_8k_htm.xml	1	
0001104659-20-000105	1326160	DUKE ENERGY CORP	4931	US	NC	CHARLOTTE	28202	550 SOUTH TRYON STREET	DEC45A	980-373-9093	US	NC	CHARLOTTE	28202	550 SOUTH TRYON STREET	DEC45A	US	DE	202777218	DUKE ENERGY HOLDING CORP.	20050628	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 07:51:00.0	0	0	tm1928407-1_8k_htm.xml	3	30371 17797
0001104659-20-000110	103145	VEECO INSTRUMENTS INC	3559	US	NY	PLAINVIEW	11803	TERMINAL DRIVE		516 677-0200	US	NY	PLAINVIEW	11803	TERMINAL DRIVE		US	DE	112989601	VACUUM ELECTRONIC MANUFACTURING CORP	19700408	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 08:15:00.0	1	0	tm1928325-1_8k_htm.xml	1	
0001104659-20-000120	315189	DEERE & CO	3523	US	IL	MOLINE	61265-8098	ONE JOHN DEERE PLACE		(309) 765-8000	US	IL	MOLINE	61265-8098	ONE JOHN DEERE PLACE		US	DE	362382580			1-LAF	0	1031	8-K	20191231			20200102	2020-01-02 09:01:00.0	0	0	tm1928360d1_8k_htm.xml	1	
0001104659-20-000127	1320414	SELECT MEDICAL HOLDINGS CORP	8060	US	PA	MECHANICSBURG	17055	C/O SELECT MEDICAL CORP	4714 GETTYSBURG RD	717-972-1100	US	PA	MECHANICSBURG	17055	C/O SELECT MEDICAL CORP	4714 GETTYSBURG RD			000000000			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 09:17:00.0	0	0	tm1927328-1_8k_htm.xml	1	
0001104659-20-000197	813762	ICAHN ENTERPRISES L.P.	3714	US	NY	NEW YORK	10153	767 FIFTH AVENUE	SUITE 4600	212-702-4300	US	NY	NEW YORK	10153	767 FIFTH AVENUE	SUITE 4600	US	DE	133398766	AMERICAN REAL ESTATE PARTNERS L P	19920703	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 12:21:00.0	0	0	tm201074d1_8k_htm.xml	2	1034563
0001104659-20-000294	888491	OMEGA HEALTHCARE INVESTORS INC	6798	US	MD	HUNT VALLEY	21030	303 INTERNATIONAL CIRCLE,	SUITE 200	410-427-1700	US	MD	HUNT VALLEY	21030	303 INTERNATIONAL CIRCLE,	SUITE 200	US	MD	383041398			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 15:04:00.0	0	0	tm201047d1_8k_htm.xml	2	1639315
0001104659-20-000359	1378992	BERRY GLOBAL GROUP, INC.	3089	US	IN	EVANSVILLE	47710	101 OAKLEY STREET	PO BOX 959	8124242904	US	IN	EVANSVILLE	47710	101 OAKLEY STREET	PO BOX 959	US	DE	000000000	BERRY GLOBAL GROUP INC	20170503	1-LAF	0	0930	8-K	20191231			20200102	2020-01-02 16:24:00.0	1	0	tm1928365-1_8k_htm.xml	1	
0001104659-20-000436	1075415	DIVERSIFIED HEALTHCARE TRUST	6798	US	MA	NEWTON	02458	C/O THE RMR GROUP	TWO NEWTON PL., 255 WASH. ST., STE. 300	(617) 796-8350	US	MA	NEWTON	02458	C/O THE RMR GROUP	TWO NEWTON PL., 255 WASH. ST., STE. 300	US	MD	043445278	SENIOR HOUSING PROPERTIES TRUST	19981217	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 17:25:00.0	0	0	tm1926716d1_8k_htm.xml	1	
0001104659-20-000439	1159281	FIVE STAR SENIOR LIVING INC.	8051	US	MA	NEWTON	02458	400 CENTRE STREET		(617) 796 8387	US	MA	NEWTON	02458	400 CENTRE STREET		US	MD	043516029	FIVE STAR QUALITY CARE, INC.	20161006	4-NON	0	1231	8-K	20191231			20200102	2020-01-02 17:26:00.0	0	0	tm1928385d1_8k_htm.xml	1	
0001104659-20-000441	24545	MOLSON COORS BEVERAGE CO	2082	US	CO	DENVER	80202	1801 CALIFORNIA STREET, SUITE 4600		303-927-2523	US	CO	DENVER	80202	1801 CALIFORNIA STREET, SUITE 4600		US	DE	840178360	MOLSON COORS BREWING CO	20050208	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 17:30:00.0	0	0	tm1927551-1_8k_htm.xml	1	
0001110803-20-000005	1110803	ILLUMINA, INC.	3826	US	CA	SAN DIEGO	92122	5200 ILLUMINA WAY		8582024500	US	CA	SAN DIEGO	92122	5200 ILLUMINA WAY		US	DE	330804655	ILLUMINA INC	20000331	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:08:00.0	0	0	form8-kpacbioterm_htm.xml	1	
0001140361-20-000051	1404912	KKR & CO. INC.	6282	US	NY	NEW YORK	10019	9 WEST 57TH STREET	SUITE 4200	212-750-8300	US	NY	NEW YORK	10019	9 WEST 57TH STREET	SUITE 4200	US	DE	260426107	KKR & CO. L.P.	20070627	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 17:01:00.0	0	0	form8k_htm.xml	1	
0001140361-20-000053	91928	SOUTH JERSEY INDUSTRIES INC	4924	US	NJ	FOLSOM	08037	1 SOUTH JERSEY PLAZA	ROUTE 54	609-561-9000	US	NJ	FOLSOM	08037	1 SOUTH JERSEY PLAZA	ROUTE 54	US	NJ	221901645	SOUTH JERSEY GAS CO	19700507	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 17:06:00.0	1	0	form8k_htm.xml	1	
0001140859-20-000002	1140859	AMERISOURCEBERGEN CORP	5122	US	PA	CHESTERBROOK	19087-5594	1300 MORRIS DRIVE		6107277000	US	PA	CHESTERBROOK	19087-5594	1300 MORRIS DRIVE		US	DE	233079390			1-LAF	0	0930	8-K	20191231			20200102	2020-01-02 16:28:00.0	0	0	a8-knewdirectorjanuary_htm.xml	1	
0001144980-20-000002	1144980	ASBURY AUTOMOTIVE GROUP INC	5500	US	GA	DULUTH	30097	2905 PREMIERE PARKWAY NW	SUITE 300	770-418-8200	US	GA	DULUTH	30097	2905 PREMIERE PARKWAY NW	SUITE 300	US	DE	010609375			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:09:00.0	1	0	a8-kjohnhartmanxdepart_htm.xml	1	
0001193125-20-000100	1337553	AERIE PHARMACEUTICALS INC	2836	US	NC	DURHAM	27703	4301 EMPEROR BOULEVARD	SUITE 400	(919) 237-5300	US	NC	DURHAM	27703	4301 EMPEROR BOULEVARD	SUITE 400	US	DE	203109565			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 06:42:00.0	0	0	d826406d8k_htm.xml	1	
0001193125-20-000112	896262	AMEDISYS INC	8082	US	LA	BATON ROUGE	70816	3854 AMERICAN WAY	SUITE A	2252922031	US	LA	BATON ROUGE	70816	3854 AMERICAN WAY	SUITE A	US	DE	113131700	ANALYTICAL NURSING MANAGEMENT CORP	19940819	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 07:01:00.0	0	0	d859691d8k_htm.xml	1	
0001193125-20-000160	1527166	CARLYLE GROUP L.P.	6282	US	DC	WASHINGTON	20004	C/O THE CARLYLE GROUP	1001 PENNSYLVANIA AVENUE, N.W.	202 729 5626	US	DC	WASHINGTON	20004	C/O THE CARLYLE GROUP	1001 PENNSYLVANIA AVENUE, N.W.	US	DE	452832612			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 08:01:00.0	0	0	d854789d8k_htm.xml	1	
0001193125-20-000169	1171825	CIT GROUP INC	6021	US	NJ	LIVINGSTON	07039	1 CIT DRIVE		9737405000	US	NJ	LIVINGSTON	07039	1 CIT DRIVE		US	DE	651051192	CIT GROUP INC DEL	20020422	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 08:11:00.0	0	0	d858797d8k_htm.xml	1	
0001193125-20-000225	1004702	OCEANFIRST FINANCIAL CORP	6035	US	NJ	TOMS RIVER	08753-8396	975 HOOPER AVE		7322404500	US	NJ	TOMS RIVER	08723	975 HOOPER AVENUE		US	DE	223412577	OCEAN FINANCIAL CORP	19951208	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 08:24:00.0	1	0	d862363d8k_htm.xml	1	
0001193125-20-000232	1343034	TWO RIVER BANCORP	6022	US	NJ	TINTON FALLS	07724	766 SHREWSBURY AVENUE		732-389-8722	US	NJ	TINTON FALLS	07724	766 SHREWSBURY AVENUE		US	NJ	203700861	COMMUNITY PARTNERS BANCORP	20051101	2-ACC	0	1231	8-K	20191231			20200102	2020-01-02 08:28:00.0	0	0	d862409d8k_htm.xml	1	
0001193125-20-000240	1004702	OCEANFIRST FINANCIAL CORP	6035	US	NJ	TOMS RIVER	08753-8396	975 HOOPER AVE		7322404500	US	NJ	TOMS RIVER	08723	975 HOOPER AVENUE		US	DE	223412577	OCEAN FINANCIAL CORP	19951208	1-LAF	0	1231	8-K/A	20191231			20200102	2020-01-02 08:32:00.0	0	0	d862387d8ka_htm.xml	1	
0001193125-20-000245	318154	AMGEN INC	2836	US	CA	THOUSAND OAKS	91320	ONE AMGEN CENTER DRIVE		(805)447-1000	US	CA	THOUSAND OAKS	91320	ONE AMGEN CENTER DRIVE		US	DE	953540776	AMGEN	19870305	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 08:36:00.0	1	0	d856254d8k_htm.xml	1	
0001193125-20-000283	1091748	ARGO GROUP INTERNATIONAL HOLDINGS, LTD.	6361	BM		PEMBROKE	HM 08	110 PITTS BAY ROAD		4412965858	BM		PEMBROKE	HM 08	110 PITTS BAY ROAD				980214719	PXRE GROUP LTD	19990724	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 08:58:00.0	1	0	d832429d8k_htm.xml	1	
0001193125-20-000358	1722992	SMTA LIQUIDATING TRUST	6798	US	TX	DALLAS	75201	2727 N. HARWOOD ST.	STE. 300	972-476-1900	US	TX	DALLAS	75201	2727 N. HARWOOD ST.	STE. 300	US	MD	000000000	SPIRIT MTA REIT	20171116	4-NON	0	1231	8-K	20191231			20200102	2020-01-02 09:45:00.0	0	0	d852798d8k_htm.xml	1	
0001193125-20-000445	1133470	CALAVO GROWERS INC	0700	US	CA	SANTA PAULA	93060	1141A CUMMINGS ROAD		805-525-1245	US	CA	SANTA PAULA	93060	1141A CUMMINGS ROAD		US	CA	330945304			1-LAF	0	1031	8-K	20191231			20200102	2020-01-02 12:18:00.0	0	0	d860827d8k_htm.xml	1	
0001193125-20-000605	1142596	NUVASIVE INC	3841	US	CA	SAN DIEGO	92121	7475 LUSK BLVD.		(858) 909-1800	US	CA	SAN DIEGO	92121	7475 LUSK BLVD.		US	DE	330768598			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:06:00.0	0	0	d833747d8k_htm.xml	1	
0001193125-20-000620	1061219	ENTERPRISE PRODUCTS PARTNERS L.P.	4922	US	TX	HOUSTON	77002	1100 LOUISIANA 10TH FLOOR		7133816500	US	TX	HOUSTON	77002	1100 LOUISIANA 10TH FLOOR		US	DE	760568219	ENTERPRISE PRODUCTS PARTNERS L P	19980518	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:15:00.0	0	0	d832502d8k_htm.xml	1	
0001193125-20-000646	874499	GULFPORT ENERGY CORP	1311	US	OK	OKLAHOMA CITY	73134	14313 NORTH MAY AVENUE	SUITE 100	4058488807	US	OK	OKLAHOMA CITY	73134	14313 NORTH MAY AVENUE	SUITE 100	US	DE	731521290	WRT ENERGY CORP	19930328	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:28:00.0	0	0	d862340d8k_htm.xml	1	
0001193125-20-000653	36029	FIRST FINANCIAL BANKSHARES INC	6022	US	TX	ABILENE	79601	400 PINE STREET	P.O. BOX 701	325.627.7167	US	TX	ABILENE	79604	P.O. BOX 701		US	TX	750944023			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:31:00.0	0	0	d860880d8k_htm.xml	1	
0001193125-20-000658	52795	ANIXTER INTERNATIONAL INC	5063	US	IL	GLENVIEW	60026	2301 PATRIOT BLVD		2245218204	US	IL	GLENVIEW	60026	2301 PATRIOT BLVD		US	DE	941658138	ITEL CORP	19920703	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:38:00.0	1	0	d832564d8k_htm.xml	1	
0001193125-20-000665	1594466	PARSLEY ENERGY, INC.	1311	US	TX	AUSTIN	78701	303 COLORADO STREET	SUITE 3000	(737) 704-2300	US	TX	AUSTIN	78701	303 COLORADO STREET	SUITE 3000	US	TX	464314192			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:44:00.0	0	0	d860660d8k_htm.xml	1	
0001193125-20-000684	1084765	RESOURCES CONNECTION INC	7389	US	CA	IRVINE	92614	17101 ARMSTRONG AVENUE		7144306400	US	CA	IRVINE	92614	17101 ARMSTRONG AVENUE		US	DE	330832424	RC TRANSACTION CORP	20000824	2-ACC	0	0531	10-Q	20191130	2020	Q2	20200102	2020-01-02 17:05:00.0	0	1	recn-20191123.xml	1	
0001193125-20-000685	1119639	PETROBRAS - PETROLEO BRASILEIRO SA	1311	BR		RIO DE JANERIO RJ BR	20035-900	AVENIDA REPUBLICA DO CHILE 65		55-21-534-4477	BR		RIO DE JANERIO RJ BR	20035-900	AVENIDA REPUBLICA DO CHILE 65		BR		000000000	BRAZILIAN PETROLEUM CORP	20000717	1-LAF	0	1231	6-K	20181231			20200102	2020-01-02 17:08:00.0	0	1	pbr-20181231.xml	1	
0001193125-20-000698	1356090	INTREXON CORP	8731	US	VA	BLACKSBURG	24060	1750 KRAFT DRIVE	SUITE 1400	301-556-9809	US	VA	BLACKSBURG	24060	1750 KRAFT DRIVE	SUITE 1400	US	VA	000000000			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 17:16:00.0	1	0	d860802d8k_htm.xml	1	
0001206774-20-000002	712771	CONNECTONE BANCORP, INC.	6022	US	NJ	ENGLEWOOD CLIFFS	07632	301 SYLVAN AVENUE		2018168900	US	NJ	ENGLEWOOD CLIFFS	07632	301 SYLVAN AVENUE		US	NJ	521273725	CENTER BANCORP INC	19920703	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 08:17:00.0	0	0	cnob3698561-8k_htm.xml	1	
0001286225-20-000002	1286225	REALPAGE, INC.	7372	US	TX	RICHARDSON	75082	2201 LAKESIDE BLVD		972-820-3915	US	TX	RICHARDSON	75082	2201 LAKESIDE BLVD		US	DE	752788861	REALPAGE INC	20040406	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:22:00.0	1	0	form8-kofficerchanges_htm.xml	1	
0001428205-20-000002	1428205	ARMOUR RESIDENTIAL REIT, INC.	6798	US	FL	VERO BEACH	32963	3001 OCEAN DRIVE	SUITE 201	(772) 617-4340	US	FL	VERO BEACH	32963	3001 OCEAN DRIVE	SUITE 201			261908763			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:18:00.0	0	0	arr8-kforconfirmjancom_htm.xml	1	
0001433642-20-000002	1433642	HAMILTON LANE INC	6282	US	PA	BALA CYNWYD	19004	ONE PRESIDENTIAL BOULEVARD	4TH FLOOR	(610) 934-2222	US	PA	BALA CYNWYD	19004	ONE PRESIDENTIAL BOULEVARD	4TH FLOOR	US	DE	262482738			1-LAF	0	0331	8-K	20191231			20200102	2020-01-02 06:57:00.0	1	0	cfo8-k_htm.xml	1	
0001437749-20-000035	885275	WILSON BANK HOLDING CO	6021	US	TN	LEBANON	37087	623 W MAIN STREET	P.O. BOX 768	6154442265	US	TN	LEBANON	37087	623 W MAIN STREET	P.O. BOX 768	US	TN	621497076			2-ACC	0	1231	8-K	20191231			20200102	2020-01-02 13:56:00.0	1	0	wbhc20200102c_8k_htm.xml	1	
0001465740-20-000002	1465740	TWO HARBORS INVESTMENT CORP.	6798	US	MN	MINNETONKA	55305	601 CARLSON PARKWAY	SUITE 1400	612-629-2500	US	MN	MINNETONKA	55305	601 CARLSON PARKWAY	SUITE 1400			270312904	TWO HARBORS INVESTMENT CORP.	20090605	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:17:00.0	1	0	two8-kciotransitionjan_htm.xml	1	
0001474098-20-000012	1474098	PEBBLEBROOK HOTEL TRUST	6798	US	MD	BETHESDA	20814	4747 BETHESDA AVENUE	SUITE 1100	240-507-1300	US	MD	BETHESDA	20814	4747 BETHESDA AVENUE	SUITE 1100	US	MD	271055421			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:34:00.0	0	0	peb8-k1220earningsanno_htm.xml	1	
0001493152-20-000002	1569568	BIGFOOT PROJECT INVESTMENTS INC	7822	US	NV	HENDERSON	89014	4041 EAST SUNSET BLVD		816-304-2686	US	NV	HENDERSON	89014	4041 EAST SUNSET BLVD		US	NV	453942184			4-NON	0	0731	10-Q/A	20191031	2020	Q1	20200102	2020-01-02 06:14:00.0	0	1	bgft-20191031.xml	1	
0001493152-20-000016	1368637	PETROLIA ENERGY CORP	1311	US	TX	HOUSTON	77024	710 N. POST OAK ROAD	SUITE 512	832-941-0011	US	TX	HOUSTON	77024	710 N. POST OAK ROAD	SUITE 512	US	TX	861061005	ROCKDALE RESOURCES CORP	20120514	4-NON	0	1231	10-Q	20190331	2019	Q1	20200102	2020-01-02 12:17:00.0	0	1	bbls-20190331.xml	1	
0001493152-20-000020	1639068	HUBILU VENTURE CORP	8742	US	CA	BEVERLY HILLS	90212	9777 WILSHIRE BLVD	SUITE 804	(310) 308-7887	US	CA	BEVERLY HILLS	90212	9777 WILSHIRE BLVD	SUITE 804	US	DE	473342387			4-NON	0	1231	10-Q	20190930	2019	Q3	20200102	2020-01-02 13:10:00.0	0	1	hbuv-20190930.xml	1	
0001524358-20-000003	1524358	MARRIOTT VACATIONS WORLDWIDE CORP	6531	US	FL	ORLANDO	32821	6649 WESTWOOD BLVD.		407-206-6000	US	FL	ORLANDO	32821	6649 WESTWOOD BLVD.		US	DE	452598330	MARRIOTT VACATIONS WORLDWIDE CORP	20110627	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 13:08:00.0	0	0	a8kdocument1-2x2020_htm.xml	1	
0001552781-20-000003	870385	CAROLINA FINANCIAL CORP	6022	US	SC	CHARLESTON	29401	288 MEETING STREET		843-723-7700	US	SC	CHARLESTON	29401	288 MEETING STREET				571039673			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 08:01:00.0	0	0	e19534_caro-8k_htm.xml	1	
0001558370-20-000011	898173	O REILLY AUTOMOTIVE INC	5531	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE		417-829-5878	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE				274358837			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:31:00.0	0	0	orly-20200102x8k0c0df67_htm.xml	1	
0001561680-20-000003	1561680	TRI POINTE GROUP, INC.	1531	US	CA	IRVINE	92612	19540 JAMBOREE ROAD, SUITE 300		(949) 438-1400	US	CA	IRVINE	92612	19540 JAMBOREE ROAD, SUITE 300				611763235	TRI POINTE HOMES, INC.	20130130	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:12:00.0	1	0	a8kixbrlkeelercompensa_htm.xml	1	
0001564590-20-000122	1564902	SEAWORLD ENTERTAINMENT, INC.	7990	US	FL	ORLANDO	32821	6240 SEA HARBOR DRIVE		(407) 226-5011	US	FL	ORLANDO	32821	6240 SEA HARBOR DRIVE		US	DE	271220297			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:16:00.0	0	0	seas-8k_20191227_htm.xml	1	
0001564590-20-000127	23217	CONAGRA BRANDS INC.	2000	US	IL	CHICAGO	60654	222 W. MERCHANDISE MART PLAZA	SUITE 1300	312-549-5000	US	IL	CHICAGO	60654	222 W. MERCHANDISE MART PLAZA	SUITE 1300	US	DE	470248710	CONAGRA FOODS INC /DE/	20001006	1-LAF	0	0531	10-Q	20191130	2020	Q2	20200102	2020-01-02 16:33:00.0	0	1	cag-10q_20191124_htm.xml	1	
0001575965-20-000003	1575965	GAMING & LEISURE PROPERTIES, INC.	6798	US	PA	WYOMISSING	19610	845 BERKSHIRE BLVD, SUITE 200		610-401-2900	US	PA	WYOMISSING	19610	845 BERKSHIRE BLVD, SUITE 200		US	PA	462116489			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:07:00.0	0	0	glpi-1227198xk_htm.xml	1	
0001596532-20-000003	1596532	ARISTA NETWORKS, INC.	3576	US	CA	SANTA CLARA	95054	5453 GREAT AMERICA PARKWAY		408-547-5500	US	CA	SANTA CLARA	95054	5453 GREAT AMERICA PARKWAY		US	DE	201751121			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:24:00.0	0	0	a8-krivelo20191229_htm.xml	1	
0001599916-20-000002	1693801	LUXXO, INC.	8742	MY		KUALA LUMPUR	59200	D-09-05 MENARA SUEZCAP 1, KL GATEWAY,	2JALAN KERINCHI,GERBANG KERINCHI LESTARI	60386053699	MY		KUALA LUMPUR	59200	D-09-05 MENARA SUEZCAP 1, KL GATEWAY,	2JALAN KERINCHI,GERBANG KERINCHI LESTARI	US	DE	384015038	GLOBAL BRIDGE CAPITAL, INC.	20170105	4-NON	0	0831	10-K	20190831	2019	FY	20200102	2020-01-02 13:35:00.0	0	1	luxxoinc-20190831.xml	1	
0001628280-20-000015	1005286	LANDEC CORP CA	2033	US	CA	SANTA CLARA	95054	5201 GREAT AMERICA PKWY	SUITE 232	6503061650	US	CA	SANTA CLARA	95054	5201 GREAT AMERICA PKWY	SUITE 232	US	DE	943025618			2-ACC	0	0531	10-Q	20191130	2020	Q2	20200102	2020-01-02 16:24:00.0	0	1	lndc-20191124.xml	1	
0001632790-20-000002	1632790	ENERGIZER HOLDINGS, INC.	3690	US	MO	SAINT LOUIS	63141	533 MARYVILLE UNIVERSITY DRIVE		(314) 985-2000	US	MO	SAINT LOUIS	63141	533 MARYVILLE UNIVERSITY DRIVE		US	MO	364802442	ENERGIZER SPINCO, INC.	20150204	1-LAF	0	0930	8-K	20191231			20200102	2020-01-02 14:17:00.0	1	0	form8-kcoverpage_htm.xml	1	
