,Unnamed: 0,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1930510,6987967,2008,12,9,2,1409.0,1310,1519.0,1426,CO,1463,N16301,70.0,76.0,51.0,53.0,59.0,MFE,IAH,316,5.0,14.0,0,N,0,0.0,0.0,53.0,0.0,0.0
1930511,6987970,2008,12,9,2,2128.0,2115,2237.0,2218,CO,1479,N77867,69.0,63.0,38.0,19.0,13.0,IAH,SAT,191,4.0,27.0,0,N,0,0.0,13.0,6.0,0.0,0.0
1930512,6987972,2008,12,9,2,2014.0,1915,2336.0,2306,CO,1488,N24212,142.0,171.0,116.0,30.0,59.0,IAH,DTW,1076,7.0,19.0,0,N,0,0.0,5.0,0.0,0.0,25.0
1930513,6987973,2008,12,9,2,1941.0,1915,2317.0,2245,CO,1492,N16646,156.0,150.0,116.0,32.0,26.0,IAH,CMH,986,6.0,34.0,0,N,0,0.0,0.0,6.0,0.0,26.0
1930514,6987975,2008,12,9,2,108.0,100,538.0,540,CO,1496,N37422,150.0,160.0,133.0,-2.0,8.0,LAS,IAH,1222,6.0,11.0,0,N,0,,,,,
1930515,6987980,2008,12,9,2,1604.0,1533,47.0,2339,CO,1503,N78506,343.0,306.0,327.0,68.0,31.0,LAX,EWR,2454,6.0,10.0,0,N,0,0.0,0.0,40.0,0.0,28.0
1930516,6987982,2008,12,9,2,2044.0,1905,2354.0,2220,CO,1506,N12114,130.0,135.0,96.0,94.0,99.0,IAH,TPA,787,5.0,29.0,0,N,0,7.0,0.0,0.0,0.0,87.0
1930517,6987984,2008,12,9,2,1747.0,1740,1936.0,1915,CO,1511,N21723,229.0,215.0,189.0,21.0,7.0,IAH,SNA,1347,3.0,37.0,0,N,0,0.0,7.0,14.0,0.0,0.0
1930518,6987985,2008,12,9,2,1021.0,1015,1305.0,1315,CO,1514,N37253,164.0,180.0,145.0,-10.0,6.0,EWR,PBI,1024,4.0,15.0,0,N,0,,,,,
1930519,6987988,2008,12,9,2,1945.0,1740,2054.0,1852,CO,1523,N30401,69.0,72.0,55.0,122.0,125.0,MSY,IAH,305,5.0,9.0,0,N,0,0.0,0.0,0.0,0.0,122.0
1930520,6987991,2008,12,9,2,1235.0,1227,1521.0,1512,CO,1530,N75858,166.0,165.0,138.0,9.0,8.0,MCO,EWR,938,14.0,14.0,0,N,0,,,,,
1930521,6987994,2008,12,9,2,2305.0,2110,2.0,2206,CO,1533,N14106,57.0,56.0,31.0,116.0,115.0,IAH,AUS,140,8.0,18.0,0,N,0,115.0,0.0,1.0,0.0,0.0
1930522,6987996,2008,12,9,2,1056.0,1050,1919.0,1640,CO,1536,N24212,,230.0,,,6.0,SFO,IAH,1635,12.0,13.0,0,N,1,,,,,
1930523,6987998,2008,12,9,2,1412.0,1303,1512.0,1400,CO,1540,N30401,60.0,57.0,31.0,72.0,69.0,AUS,IAH,140,10.0,19.0,0,N,0,0.0,0.0,72.0,0.0,0.0
1930524,6988003,2008,12,9,2,1551.0,1515,1805.0,1632,CO,1547,N37408,134.0,77.0,117.0,93.0,36.0,MSY,IAH,305,5.0,12.0,0,N,0,0.0,0.0,57.0,0.0,36.0
1930525,6988007,2008,12,9,2,702.0,655,953.0,956,CO,1554,N75853,171.0,181.0,145.0,-3.0,7.0,EWR,PBI,1024,5.0,21.0,0,N,0,,,,,
1930526,6988009,2008,12,9,2,1502.0,1430,1727.0,1603,CO,1557,N33266,205.0,153.0,125.0,84.0,32.0,IAH,DEN,861,10.0,70.0,0,N,0,0.0,6.0,52.0,0.0,26.0
1930527,6988010,2008,12,9,2,1811.0,1800,2209.0,2156,CO,1558,N24715,178.0,176.0,140.0,13.0,11.0,IAH,DCA,1208,5.0,33.0,0,N,0,,,,,
1930528,6988012,2008,12,9,2,707.0,700,928.0,924,CO,1559,N76516,201.0,204.0,186.0,4.0,7.0,DCA,IAH,1208,4.0,11.0,0,N,0,,,,,
1930529,6988013,2008,12,9,2,1604.0,1542,1904.0,1650,CO,1560,N30401,180.0,68.0,57.0,134.0,22.0,IAH,MSY,305,3.0,120.0,0,N,0,0.0,2.0,112.0,0.0,20.0
1930530,6988015,2008,12,9,2,1540.0,1530,1823.0,1740,CO,1566,N12218,283.0,250.0,218.0,43.0,10.0,IAH,SFO,1635,8.0,57.0,0,N,0,0.0,10.0,33.0,0.0,0.0
1930531,6988016,2008,12,9,2,1511.0,1455,1815.0,1704,CO,1567,N58606,184.0,129.0,84.0,71.0,16.0,CLE,EWR,404,7.0,93.0,0,N,0,0.0,0.0,58.0,0.0,13.0
1930532,6988019,2008,12,9,2,1936.0,1631,2053.0,1741,CO,1570,N23721,77.0,70.0,47.0,192.0,185.0,DFW,IAH,224,11.0,19.0,0,N,0,0.0,0.0,192.0,0.0,0.0
1930533,6988024,2008,12,9,2,1406.0,1304,1457.0,1406,CO,1578,N26215,51.0,62.0,35.0,51.0,62.0,SAT,IAH,191,7.0,9.0,0,N,0,0.0,0.0,51.0,0.0,0.0
1930534,6988028,2008,12,9,2,1257.0,1242,1533.0,1524,CO,1581,N37298,216.0,222.0,196.0,9.0,15.0,SEA,ANC,1449,6.0,14.0,0,N,0,,,,,
1930535,6988037,2008,12,9,2,2019.0,1910,2359.0,2148,CO,1593,N75853,220.0,158.0,126.0,131.0,69.0,MCO,EWR,938,15.0,79.0,0,N,0,0.0,0.0,131.0,0.0,0.0
1930536,6988040,2008,12,9,2,1500.0,1450,1750.0,1757,CO,1601,N19141,170.0,187.0,152.0,-7.0,10.0,EWR,FLL,1065,4.0,14.0,0,N,0,,,,,
1930537,6988042,2008,12,9,2,1828.0,1805,1924.0,1902,CO,1603,N37420,56.0,57.0,28.0,22.0,23.0,IAH,AUS,140,5.0,23.0,0,N,0,22.0,0.0,0.0,0.0,0.0
1930538,6988050,2008,12,9,2,1846.0,1720,2145.0,2020,CO,1619,N12216,179.0,180.0,135.0,85.0,86.0,TPA,EWR,998,13.0,31.0,0,N,0,0.0,0.0,85.0,0.0,0.0
1930539,6988056,2008,12,9,2,1841.0,1725,222.0,2359,CO,1634,N33284,341.0,274.0,322.0,143.0,76.0,PHX,EWR,2133,9.0,10.0,0,N,0,0.0,0.0,80.0,0.0,63.0
1930540,6988060,2008,12,9,2,2129.0,2101,2319.0,2315,CO,1644,N27239,230.0,254.0,209.0,4.0,28.0,IAH,SMF,1609,3.0,18.0,0,N,0,,,,,
1930541,6988061,2008,12,9,2,1752.0,1740,2026.0,1945,CO,1645,N72405,214.0,185.0,195.0,41.0,12.0,CLE,IAH,1091,11.0,8.0,0,N,0,0.0,0.0,29.0,0.0,12.0
1930542,6988062,2008,12,9,2,2004.0,1905,13.0,2151,CO,1647,N17627,249.0,166.0,162.0,142.0,59.0,ORD,IAH,925,11.0,76.0,0,N,0,0.0,0.0,83.0,0.0,59.0
1930543,6988063,2008,12,9,2,1720.0,1548,2144.0,1915,CO,1648,N75851,204.0,147.0,119.0,149.0,92.0,IAH,FLL,965,3.0,82.0,0,N,0,92.0,0.0,57.0,0.0,0.0
1930544,6988067,2008,12,9,2,2012.0,1946,2344.0,2304,CO,1662,N31412,152.0,138.0,104.0,40.0,26.0,IAH,RSW,861,5.0,43.0,0,N,0,0.0,6.0,14.0,0.0,20.0
1930545,6988071,2008,12,9,2,1501.0,1435,1743.0,1635,CO,1672,N33284,222.0,180.0,150.0,68.0,26.0,IAH,PHX,1009,3.0,69.0,0,N,0,0.0,26.0,42.0,0.0,0.0
1930546,6988076,2008,12,9,2,1845.0,1647,1948.0,1755,CO,1678,N27205,63.0,68.0,45.0,113.0,118.0,SAT,IAH,191,7.0,11.0,0,N,0,0.0,0.0,113.0,0.0,0.0
1930547,6988082,2008,12,9,2,1824.0,1800,1955.0,1937,CO,1687,N75854,151.0,157.0,131.0,18.0,24.0,MCO,IAH,853,10.0,10.0,0,N,0,0.0,0.0,0.0,0.0,18.0
1930548,6988084,2008,12,9,2,1908.0,1810,2033.0,1943,CO,1689,N76503,205.0,213.0,181.0,50.0,58.0,IAH,SAN,1303,5.0,19.0,0,N,0,50.0,0.0,0.0,0.0,0.0
1930549,6988085,2008,12,9,2,2152.0,2030,28.0,2339,CO,1692,N76514,156.0,189.0,141.0,49.0,82.0,EWR,MCO,938,5.0,10.0,0,N,0,0.0,0.0,0.0,0.0,49.0
1930550,6988086,2008,12,9,2,1831.0,1721,2203.0,2029,CO,1693,N14102,212.0,188.0,137.0,94.0,70.0,MCO,EWR,938,15.0,60.0,0,N,0,0.0,0.0,94.0,0.0,0.0
1930551,6988087,2008,12,9,2,1848.0,1820,4.0,2325,CO,1694,N36207,196.0,185.0,175.0,39.0,28.0,LAX,IAH,1379,11.0,10.0,0,N,0,0.0,0.0,11.0,0.0,28.0
1930552,6988089,2008,12,9,2,2030.0,1857,2347.0,2159,CO,1700,N19141,197.0,182.0,138.0,108.0,93.0,FLL,EWR,1065,8.0,51.0,0,N,0,0.0,0.0,108.0,0.0,0.0
1930553,6988098,2008,12,9,2,1841.0,1645,2006.0,1804,CO,1711,N11651,85.0,79.0,62.0,122.0,116.0,MFE,IAH,316,10.0,13.0,0,N,0,0.0,0.0,122.0,0.0,0.0
1930554,6988099,2008,12,9,2,924.0,900,1125.0,1113,CO,1714,N71411,241.0,253.0,216.0,12.0,24.0,IAH,SMF,1609,4.0,21.0,0,N,0,,,,,
1930555,6988101,2008,12,9,2,2229.0,2100,2342.0,2223,CO,1717,N33266,193.0,203.0,175.0,79.0,89.0,IAH,SAN,1303,3.0,15.0,0,N,0,11.0,0.0,0.0,0.0,68.0
1930556,6988102,2008,12,9,2,2038.0,1900,2334.0,2204,CO,1720,N11651,116.0,124.0,87.0,90.0,98.0,IAH,ATL,689,7.0,22.0,0,N,0,0.0,0.0,0.0,0.0,90.0
1930557,6988103,2008,12,9,2,2135.0,2110,2244.0,2221,CO,1721,N17620,129.0,131.0,98.0,23.0,25.0,IAH,ELP,667,5.0,26.0,0,N,0,0.0,0.0,0.0,0.0,23.0
1930558,6988111,2008,12,9,2,731.0,720,949.0,1004,CO,1746,N33284,138.0,164.0,110.0,-15.0,11.0,IAH,ORD,925,7.0,21.0,0,N,0,,,,,
1930559,6988112,2008,12,9,2,2032.0,1910,2.0,2241,CO,1748,N36247,150.0,151.0,113.0,81.0,82.0,IAH,FLL,965,3.0,34.0,0,N,0,81.0,0.0,0.0,0.0,0.0
1930560,6988117,2008,12,9,2,2127.0,2100,2324.0,2319,CO,1763,N16713,237.0,259.0,214.0,5.0,27.0,IAH,SFO,1635,6.0,17.0,0,N,0,,,,,
1930561,6988119,2008,12,9,2,901.0,855,1212.0,1146,CO,1767,N31412,311.0,291.0,280.0,26.0,6.0,IAH,SEA,1874,6.0,25.0,0,N,0,6.0,0.0,20.0,0.0,0.0
1930562,6988121,2008,12,9,2,1845.0,1755,1959.0,1858,CO,1779,N14237,74.0,63.0,42.0,61.0,50.0,IAH,SAT,191,4.0,28.0,0,N,0,0.0,7.0,11.0,0.0,43.0
1930563,6988124,2008,12,9,2,1747.0,1738,2029.0,1956,CO,1789,N73275,222.0,198.0,184.0,33.0,9.0,DTW,IAH,1076,12.0,26.0,0,N,0,0.0,0.0,24.0,0.0,9.0
1930564,6988126,2008,12,9,2,1828.0,1810,2107.0,2117,CO,1792,N33132,159.0,187.0,141.0,-10.0,18.0,EWR,MCO,938,5.0,13.0,0,N,0,,,,,
1930565,6988127,2008,12,9,2,1803.0,1747,2027.0,1947,CO,1793,N16713,204.0,180.0,172.0,40.0,16.0,CMH,IAH,986,19.0,13.0,0,N,0,0.0,0.0,24.0,0.0,16.0
1930566,6988128,2008,12,9,2,2003.0,1750,2134.0,1934,CO,1795,N57868,211.0,224.0,179.0,120.0,133.0,IAH,LAX,1379,9.0,23.0,0,N,0,120.0,0.0,0.0,0.0,0.0
1930567,6988129,2008,12,9,2,1459.0,1445,1704.0,1554,CO,1799,N17233,125.0,69.0,50.0,70.0,14.0,IAH,MSY,305,4.0,71.0,0,N,0,0.0,14.0,56.0,0.0,0.0
1930568,6988130,2008,12,9,2,1732.0,1705,2120.0,2025,CO,1800,N19136,228.0,200.0,170.0,55.0,27.0,FLL,EWR,1065,12.0,46.0,0,N,0,0.0,0.0,55.0,0.0,0.0
1930569,6988132,2008,12,9,2,2240.0,2205,657.0,602,CO,1803,N57868,317.0,297.0,295.0,55.0,35.0,LAX,EWR,2454,10.0,12.0,0,N,0,0.0,0.0,21.0,0.0,34.0
1930570,6988136,2008,12,9,2,2145.0,2105,2354.0,2314,CO,1812,N23708,129.0,129.0,100.0,40.0,40.0,IAH,OMA,781,15.0,14.0,0,N,0,40.0,0.0,0.0,0.0,0.0
1930571,6988141,2008,12,9,2,1931.0,1900,2315.0,2228,CO,1830,N47414,164.0,148.0,114.0,47.0,31.0,IAH,PBI,956,5.0,45.0,0,N,0,31.0,0.0,16.0,0.0,0.0
1930572,6988155,2008,12,9,2,1753.0,1730,2030.0,1951,CO,1876,N17719,217.0,201.0,197.0,39.0,23.0,PIT,IAH,1117,8.0,12.0,0,N,0,0.0,0.0,16.0,0.0,23.0
1930573,6988158,2008,12,9,2,1901.0,1815,2204.0,2130,CO,1881,N37253,363.0,375.0,346.0,34.0,46.0,EWR,SEA,2401,6.0,11.0,0,N,0,6.0,0.0,0.0,0.0,28.0
1930574,6988159,2008,12,9,2,1956.0,1925,2242.0,2223,CO,1888,N37422,286.0,298.0,257.0,19.0,31.0,IAH,SEA,1874,5.0,24.0,0,N,0,0.0,0.0,0.0,0.0,19.0
1930575,6988162,2008,12,9,2,1226.0,1205,1850.0,1747,CO,1893,N71411,264.0,222.0,244.0,63.0,21.0,SMF,IAH,1609,10.0,10.0,0,N,0,21.0,0.0,42.0,0.0,0.0
1930576,6988166,2008,12,8,1,1742.0,1735,1845.0,1846,CO,5,N73406,63.0,71.0,44.0,-1.0,7.0,IAH,MSY,305,4.0,15.0,0,N,0,,,,,
1930577,6988168,2008,12,8,1,816.0,810,917.0,913,CO,7,N27205,61.0,63.0,41.0,4.0,6.0,SAT,IAH,191,9.0,11.0,0,N,0,,,,,
1930578,6988170,2008,12,8,1,104.0,2055,1619.0,1120,CO,14,N68061,615.0,565.0,583.0,299.0,249.0,HNL,EWR,4962,13.0,19.0,0,N,0,249.0,0.0,50.0,0.0,0.0
1930579,6988171,2008,12,8,1,1346.0,1335,1923.0,1935,CO,15,N76065,637.0,660.0,608.0,-12.0,11.0,EWR,HNL,4962,8.0,21.0,0,N,0,,,,,
1930580,6988172,2008,12,8,1,1032.0,1025,1828.0,1844,CO,16,N17139,296.0,319.0,273.0,-16.0,7.0,LAX,EWR,2454,12.0,11.0,0,N,0,,,,,
1930581,6988173,2008,12,8,1,1400.0,1345,1719.0,1647,CO,17,N26123,379.0,362.0,349.0,32.0,15.0,EWR,LAX,2454,12.0,18.0,0,N,0,6.0,0.0,17.0,0.0,9.0
1930582,6988174,2008,12,8,1,1343.0,1330,1631.0,1630,CO,23,N17126,228.0,240.0,198.0,1.0,13.0,EWR,IAH,1400,12.0,18.0,0,N,0,,,,,
1930583,6988176,2008,12,8,1,1836.0,1820,2002.0,2003,CO,35,N76288,146.0,163.0,128.0,-1.0,16.0,IAH,DEN,861,7.0,11.0,0,N,0,,,,,
1930584,6988178,2008,12,8,1,1336.0,1329,1619.0,1622,CO,37,N41135,163.0,173.0,137.0,-3.0,7.0,EWR,MCO,938,9.0,17.0,0,N,0,,,,,
1930585,6988180,2008,12,8,1,1653.0,1640,2006.0,1948,CO,45,N24702,193.0,188.0,154.0,18.0,13.0,EWR,MIA,1086,11.0,28.0,0,N,0,6.0,0.0,5.0,0.0,7.0
1930586,6988183,2008,12,8,1,1651.0,1625,1938.0,1924,CO,51,N68155,227.0,239.0,189.0,14.0,26.0,EWR,IAH,1400,14.0,24.0,0,N,0,,,,,
1930587,6988185,2008,12,8,1,1451.0,1435,1921.0,1919,CO,62,N37427,210.0,224.0,174.0,2.0,16.0,IAH,EWR,1400,24.0,12.0,0,N,0,,,,,
1930588,6988186,2008,12,8,1,1546.0,1525,1906.0,1837,CO,65,N13138,380.0,372.0,340.0,29.0,21.0,EWR,LAX,2454,9.0,31.0,0,N,0,0.0,0.0,8.0,0.0,21.0
1930589,6988188,2008,12,8,1,1610.0,1552,1844.0,1900,CO,76,N17105,154.0,188.0,137.0,-16.0,18.0,MCO,EWR,938,9.0,8.0,0,N,0,,,,,
1930590,6988189,2008,12,8,1,1908.0,1900,2211.0,2205,CO,88,N35260,243.0,245.0,189.0,6.0,8.0,EWR,IAH,1400,8.0,46.0,0,N,0,,,,,
1930591,6988190,2008,12,8,1,636.0,630,1052.0,1052,CO,89,N73299,196.0,202.0,171.0,0.0,6.0,IAH,EWR,1400,9.0,16.0,0,N,0,,,,,
1930592,6988191,2008,12,8,1,1336.0,1240,2129.0,2057,CO,90,N14121,293.0,317.0,273.0,32.0,56.0,LAX,EWR,2454,8.0,12.0,0,N,0,0.0,0.0,0.0,0.0,32.0
1930593,6988194,2008,12,8,1,1147.0,1125,1323.0,1313,CO,130,N32626,96.0,108.0,75.0,10.0,22.0,CLE,BOS,563,9.0,12.0,0,N,0,,,,,
1930594,6988201,2008,12,8,1,1852.0,1845,2032.0,2022,CO,150,N77296,220.0,217.0,194.0,10.0,7.0,IAH,ONT,1334,5.0,21.0,0,N,0,,,,,
1930595,6988203,2008,12,8,1,1139.0,1130,1609.0,1559,CO,152,N73152,210.0,209.0,182.0,10.0,9.0,IAH,EWR,1400,11.0,17.0,0,N,0,,,,,
1930596,6988204,2008,12,8,1,919.0,859,1210.0,1202,CO,154,N17229,171.0,183.0,134.0,8.0,20.0,EWR,PBI,1024,5.0,32.0,0,N,0,,,,,
1930597,6988217,2008,12,8,1,813.0,740,1602.0,1549,CO,186,N24702,289.0,309.0,272.0,13.0,33.0,SNA,EWR,2433,7.0,10.0,0,N,0,,,,,
1930598,6988223,2008,12,8,1,637.0,630,1139.0,1148,CO,194,N34131,182.0,198.0,161.0,-9.0,7.0,LAX,IAH,1379,5.0,16.0,0,N,0,,,,,
1930599,6988239,2008,12,8,1,1405.0,1355,1803.0,1812,CO,217,N17640,178.0,197.0,152.0,-9.0,10.0,MSY,EWR,1167,12.0,14.0,0,N,0,,,,,
1930600,6988245,2008,12,8,1,334.0,45,729.0,505,CO,223,N77867,175.0,200.0,153.0,144.0,169.0,ANC,SEA,1449,12.0,10.0,0,N,0,17.0,0.0,0.0,0.0,127.0
1930601,6988246,2008,12,8,1,843.0,610,1500.0,1215,CO,223,N77867,257.0,245.0,225.0,165.0,153.0,SEA,IAH,1874,16.0,16.0,0,N,0,0.0,9.0,12.0,0.0,144.0
1930602,6988251,2008,12,8,1,1739.0,1730,2033.0,2013,CO,228,N26226,294.0,283.0,260.0,20.0,9.0,EWR,DEN,1605,14.0,20.0,0,N,0,9.0,0.0,11.0,0.0,0.0
1930603,6988260,2008,12,8,1,642.0,635,921.0,925,CO,239,N34282,159.0,170.0,137.0,-4.0,7.0,MIA,EWR,1086,6.0,16.0,0,N,0,,,,,
1930604,6988270,2008,12,8,1,1221.0,1214,1952.0,1946,CO,254,N77258,271.0,272.0,252.0,6.0,7.0,SFO,CLE,2161,6.0,13.0,0,N,0,,,,,
1930605,6988278,2008,12,8,1,1928.0,1840,2323.0,2229,CO,271,N17627,175.0,169.0,117.0,54.0,48.0,MSP,EWR,1008,10.0,48.0,0,N,0,0.0,0.0,6.0,0.0,48.0
1930606,6988284,2008,12,8,1,840.0,830,1206.0,1157,CO,287,N14735,386.0,387.0,354.0,9.0,10.0,EWR,SNA,2433,7.0,25.0,0,N,0,,,,,
1930607,6988285,2008,12,8,1,1339.0,1240,1818.0,1650,CO,290,N77303,219.0,190.0,161.0,88.0,59.0,SLC,IAH,1195,11.0,47.0,0,N,0,59.0,0.0,29.0,0.0,0.0
1930608,6988287,2008,12,8,1,726.0,715,1005.0,1010,CO,292,N57864,159.0,175.0,132.0,-5.0,11.0,EWR,MCO,938,4.0,23.0,0,N,0,,,,,
1930609,6988292,2008,12,8,1,1357.0,1305,1644.0,1605,CO,301,N21108,167.0,180.0,145.0,39.0,52.0,EWR,FLL,1065,5.0,17.0,0,N,0,11.0,0.0,0.0,0.0,28.0
1930610,6988295,2008,12,8,1,1823.0,1757,2024.0,2010,CO,307,N17126,241.0,253.0,216.0,14.0,26.0,IAH,SFO,1635,9.0,16.0,0,N,0,,,,,
1930611,6988297,2008,12,8,1,1917.0,1910,2356.0,2346,CO,310,N14115,219.0,216.0,171.0,10.0,7.0,IAH,EWR,1400,8.0,40.0,0,N,0,,,,,
1930612,6988299,2008,12,8,1,1851.0,1805,2345.0,2309,CO,312,N18220,234.0,244.0,195.0,36.0,46.0,EWR,BQN,1585,5.0,34.0,0,N,0,36.0,0.0,0.0,0.0,0.0
1930613,6988308,2008,12,8,1,1255.0,1245,1647.0,1643,CO,326,N14704,172.0,178.0,147.0,4.0,10.0,IAH,BWI,1235,6.0,19.0,0,N,0,,,,,
1930614,6988314,2008,12,8,1,1454.0,1444,1942.0,1944,CO,335,N73278,168.0,180.0,149.0,-2.0,10.0,SAN,IAH,1303,10.0,9.0,0,N,0,,,,,
1930615,6988319,2008,12,8,1,846.0,840,1044.0,1046,CO,345,N37409,178.0,186.0,160.0,-2.0,6.0,CLE,IAH,1091,8.0,10.0,0,N,0,,,,,
1930616,6988328,2008,12,8,1,1707.0,1635,105.0,14,CO,356,N37293,298.0,279.0,247.0,51.0,32.0,LAS,EWR,2227,10.0,41.0,0,N,0,32.0,0.0,19.0,0.0,0.0
1930617,6988332,2008,12,8,1,1928.0,1910,2153.0,2133,CO,361,N76504,265.0,263.0,222.0,20.0,18.0,IAH,SFO,1635,7.0,36.0,0,N,0,7.0,0.0,2.0,0.0,11.0
1930618,6988333,2008,12,8,1,1246.0,1235,1849.0,1846,CO,366,N31412,243.0,251.0,218.0,3.0,11.0,SEA,IAH,1874,11.0,14.0,0,N,0,,,,,
1930619,6988336,2008,12,8,1,1609.0,1529,1906.0,1752,CO,370,N17627,237.0,203.0,205.0,74.0,40.0,EWR,MSP,1008,8.0,24.0,0,N,0,40.0,0.0,34.0,0.0,0.0
1930620,6988339,2008,12,8,1,1613.0,1605,1903.0,1916,CO,377,N12116,170.0,191.0,148.0,-13.0,8.0,RSW,EWR,1068,10.0,12.0,0,N,0,,,,,
1930621,6988340,2008,12,8,1,939.0,850,1149.0,1109,CO,378,N79402,250.0,259.0,215.0,40.0,49.0,IAH,SFO,1635,6.0,29.0,0,N,0,0.0,0.0,40.0,0.0,0.0
1930622,6988346,2008,12,8,1,1604.0,1555,3.0,2353,CO,386,N24706,299.0,298.0,275.0,10.0,9.0,SNA,EWR,2433,13.0,11.0,0,N,0,,,,,
1930623,6988351,2008,12,8,1,1216.0,1150,1725.0,1705,CO,394,N37413,189.0,195.0,171.0,20.0,26.0,LAX,IAH,1379,6.0,12.0,0,N,0,20.0,0.0,0.0,0.0,0.0
1930624,6988353,2008,12,8,1,1817.0,1800,1941.0,1922,CO,397,N77865,204.0,202.0,176.0,19.0,17.0,IAH,LAS,1222,8.0,20.0,0,N,0,17.0,0.0,2.0,0.0,0.0
1930625,6988356,2008,12,8,1,2054.0,2045,51.0,100,CO,410,N78501,177.0,195.0,160.0,-9.0,9.0,IAH,EWR,1400,6.0,11.0,0,N,0,,,,,
1930626,6988357,2008,12,8,1,1215.0,1155,1519.0,1452,CO,411,N17719,244.0,237.0,200.0,27.0,20.0,EWR,IAH,1400,8.0,36.0,0,N,0,20.0,0.0,7.0,0.0,0.0
1930627,6988361,2008,12,8,1,1256.0,1245,1801.0,1757,CO,420,N14735,185.0,192.0,173.0,4.0,11.0,SNA,IAH,1347,5.0,7.0,0,N,0,,,,,
1930628,6988362,2008,12,8,1,1832.0,1755,2034.0,2012,CO,421,N72405,242.0,257.0,222.0,22.0,37.0,IAH,SJC,1608,8.0,12.0,0,N,0,22.0,0.0,0.0,0.0,0.0
1930629,6988364,2008,12,8,1,1924.0,1915,2038.0,2030,CO,423,N57857,74.0,75.0,47.0,8.0,9.0,IAH,MSY,305,6.0,21.0,0,N,0,,,,,
1930630,6988368,2008,12,8,1,1454.0,1420,2027.0,2007,CO,430,N47414,213.0,227.0,187.0,20.0,34.0,SFO,IAH,1635,12.0,14.0,0,N,0,0.0,0.0,5.0,0.0,15.0
1930631,6988378,2008,12,8,1,715.0,700,1045.0,1043,CO,448,N14214,390.0,403.0,367.0,2.0,15.0,EWR,SFO,2565,6.0,17.0,0,N,0,,,,,
1930632,6988381,2008,12,8,1,633.0,625,814.0,806,CO,451,N77258,101.0,101.0,80.0,8.0,8.0,LGA,CLE,418,6.0,15.0,0,N,0,,,,,
1930633,6988383,2008,12,8,1,1306.0,1300,1657.0,1657,CO,458,N24633,171.0,177.0,144.0,0.0,6.0,IAH,DCA,1208,5.0,22.0,0,N,0,,,,,
